Interchange_Name,Highway_Name,Mile_Marker,Latitude,Longitude,Permalink
IC_U20_76,US-20,76,41.64104244752938,-86.29765866665534,https://www.waze.com/editor?env=usa&lat=41.64104244752938&lon=-86.29765866665534&zoom=5
IC_U6_16,US-6,16,41.58297386016016,-87.24036268124979,https://www.waze.com/editor?env=usa&lat=41.58297386016016&lon=-87.24036268124979&zoom=5
IC_U24_62,US-24,62,40.73860428851852,-86.3888849951856,https://www.waze.com/editor?env=usa&lat=40.73860428851852&lon=-86.3888849951856&zoom=5
IC_U27_46,US-27,46,40.17209443412051,-84.96676801990908,https://www.waze.com/editor?env=usa&lat=40.17209443412051&lon=-84.96676801990908&zoom=5
IC_S23_36,IN-23,36,41.64104244752938,-86.29765866665534,https://www.waze.com/editor?env=usa&lat=41.64104244752938&lon=-86.29765866665534&zoom=5
IC_S25_95,IN-25,95,41.04606240645358,-86.21947701224941,https://www.waze.com/editor?env=usa&lat=41.04606240645358&lon=-86.21947701224941&zoom=5
IC_S25_53,IN-25,53,40.567378738799746,-86.65847853497854,https://www.waze.com/editor?env=usa&lat=40.567378738799746&lon=-86.65847853497854&zoom=5
IC_S23_39,IN-23,39,41.66663113914849,-86.23841523681408,https://www.waze.com/editor?env=usa&lat=41.66663113914849&lon=-86.23841523681408&zoom=5
IC_S3_179,IN-3,179,41.12924705785722,-85.15804865819322,https://www.waze.com/editor?env=usa&lat=41.12924705785722&lon=-85.15804865819322&zoom=5
IC_U31_0,US-31,0,38.27207787481425,-85.74968563896267,https://www.waze.com/editor?env=usa&lat=38.27207787481425&lon=-85.74968563896267&zoom=5
IC_U24_162,US-24,162,41.14430052525503,-84.84839341375525,https://www.waze.com/editor?env=usa&lat=41.14430052525503&lon=-84.84839341375525&zoom=5
IC_S3_73,IN-3,73,39.36223830649081,-85.47947960168075,https://www.waze.com/editor?env=usa&lat=39.36223830649081&lon=-85.47947960168075&zoom=5
IC_S3_109,IN-3,109,39.85326929356761,-85.41295090796417,https://www.waze.com/editor?env=usa&lat=39.85326929356761&lon=-85.41295090796417&zoom=5
IC_U31_73,US-31,73,39.2409946226155,-85.93751856234888,https://www.waze.com/editor?env=usa&lat=39.2409946226155&lon=-85.93751856234888&zoom=5
IC_U12_15,US-12,15,41.597890779232635,-87.30631607073403,https://www.waze.com/editor?env=usa&lat=41.597890779232635&lon=-87.30631607073403&zoom=5
IC_U30_48,US-30,48,41.39382141884087,-86.62072622656363,https://www.waze.com/editor?env=usa&lat=41.39382141884087&lon=-86.62072622656363&zoom=5
IC_U31_2,US-31,2,38.28968971080464,-85.75718187926506,https://www.waze.com/editor?env=usa&lat=38.28968971080464&lon=-85.75718187926506&zoom=5
IC_U31_123,US-31,123,39.930211196498,-86.1578546625511,https://www.waze.com/editor?env=usa&lat=39.930211196498&lon=-86.1578546625511&zoom=5
IC_S2_81,IN-2,81,41.67171282452513,-86.34088887405566,https://www.waze.com/editor?env=usa&lat=41.67171282452513&lon=-86.34088887405566&zoom=5
IC_S13_5,IN-13,5,39.993673404281644,-85.8431666337582,https://www.waze.com/editor?env=usa&lat=39.993673404281644&lon=-85.8431666337582&zoom=5
IC_U27_106,US-27,106,40.982404309460044,-85.08604232054755,https://www.waze.com/editor?env=usa&lat=40.982404309460044&lon=-85.08604232054755&zoom=5
IC_U20_73,US-20,73,41.67171282452513,-86.34088887405566,https://www.waze.com/editor?env=usa&lat=41.67171282452513&lon=-86.34088887405566&zoom=5
IC_U24_63,US-24,63,40.72776323617813,-86.3834798906793,https://www.waze.com/editor?env=usa&lat=40.72776323617813&lon=-86.3834798906793&zoom=5
IC_S25_71,IN-25,71,40.72776323617813,-86.3834798906793,https://www.waze.com/editor?env=usa&lat=40.72776323617813&lon=-86.3834798906793&zoom=5
IC_U20_15,US-20,15,41.597890779232635,-87.30631607073403,https://www.waze.com/editor?env=usa&lat=41.597890779232635&lon=-87.30631607073403&zoom=5
IC_U20_10,US-20,10,41.60356856035555,-87.43268963005855,https://www.waze.com/editor?env=usa&lat=41.60356856035555&lon=-87.43268963005855&zoom=5
IC_U24_61,US-24,61,40.75653757491785,-86.3987336347679,https://www.waze.com/editor?env=usa&lat=40.75653757491785&lon=-86.3987336347679&zoom=5
IC_U12_10,US-12,10,41.60356856035555,-87.43268963005855,https://www.waze.com/editor?env=usa&lat=41.60356856035555&lon=-87.43268963005855&zoom=5
IC_S29_31,IN-29,31,40.72776323617813,-86.3834798906793,https://www.waze.com/editor?env=usa&lat=40.72776323617813&lon=-86.3834798906793&zoom=5
